Name,Address,City,County,State,Type Detailed,Population Count,Facility Operator,Facility Owner,Per Diem Rate Detailed,Last Inspection Standard,Last Inspection Rating - Final
ADELANTO DETENTION FACILITY,10250 RANCHO ROAD,ADELANTO,SAN BERNARDINO,CA,DIGSA,1482,GEO,CITY,"1455 (GM); $111.92 (1-1455), $42.36 (1456-1940)",PBNDS 2011,Pending
ALBANY COUNTY JAIL,840 ALBANY SHAKER ROAD,ALBANY,KINGS,NY,USMS IGA,39,COUNTY (SHERIFF),COUNTY,$119.3,NDS,Acceptable
ALHAMBRA CITY JAIL,211 S. FIRST ST.,ALHAMBRA,LOS ANGELES,CA,USMS IGA,0,CITY,CITY,$85,NDS,Acceptable
ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,ALLEGANY,NY,IGSA,8,COUNTY (SHERIFF),COUNTY,$95,NDS,Acceptable
ALLEGHENY COUNTY JAIL,950 SECOND AVENUE,PITTSBURGH,ALLEGHENY,PA,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$73.27,NDS,Acceptable
ANCHORAGE CORRECTIONAL COMPLEX,1400 E. 4TH AVE,ANCHORAGE,ANCHORAGE,AK,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$142.66,NDS,Acceptable
APACHE COUNTY JAIL,370 SOUTH WASHINGTON ST,ST JOHNS,APACHE,AZ,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$63,NDS,Acceptable
ATLANTA CITY DETENTION CENTER,254 PEACHTREE STREET SOUTHWEST,ATLANTA,FULTON,GA,USMS IGA,59,CITY,CITY,$78,NDS,Acceptable
BAKER COUNTY SHERIFF'S OFFICE,1 SHERIFF OFFICE DRIVE,MACCLENNY,BAKER,FL,IGSA,191,COUNTY,COUNTY,$84.72,NDS,Acceptable
BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE.,BAY MINETTE,BALDWIN,AL,IGSA,1,COUNTY (SHERIFF),COUNTY,$40,NDS,Acceptable
