Name,Address,City,County,State,Type Detailed,Population Count,Facility Operator,Facility Owner,Per Diem Rate Detailed,Last Inspection Standard,Last Inspection Rating - Final
Adelanto Detention Facility,10250 Rancho Road,Adelanto,San Bernardino,CA,DIGSA,1482,GEO,CITY,"1455 (GM); $111.92 (1-1455), $42.36 (1456-1940)",PBNDS 2011,Pending
Albany County Jail,840 Albany Shaker Road,Albany,Kings,NY,USMS IGA,39,COUNTY (SHERIFF),COUNTY,$119.3,NDS,Acceptable
Alhambra City Jail,211 S. First St.,Alhambra,Los Angeles,CA,USMS IGA,0,CITY,CITY,$85,NDS,Acceptable
Allegany County Jail,4884 State Route 19,Belmont,Allegany,NY,IGSA,8,COUNTY (SHERIFF),COUNTY,$95,NDS,Acceptable
Allegheny County Jail,950 Second Avenue,Pittsburgh,Allegheny,PA,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$73.27,NDS,Acceptable
Anchorage Correctional Complex,1400 E. 4Th Ave,Anchorage,Anchorage,AK,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$142.66,NDS,Acceptable
Apache County Jail,370 South Washington St,St Johns,Apache,AZ,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$63,NDS,Acceptable
Atlanta City Detention Center,254 Peachtree Street Southwest,Atlanta,Fulton,GA,USMS IGA,59,CITY,CITY,$78,NDS,Acceptable
Baker County Sheriff'S Office,1 Sheriff Office Drive,Macclenny,Baker,FL,IGSA,191,COUNTY,COUNTY,$84.72,NDS,Acceptable
Baldwin County Correctional Center,200 Hand Ave.,Bay Minette,Baldwin,AL,IGSA,1,COUNTY (SHERIFF),COUNTY,$40,NDS,Acceptable
Bedford Heights City Jail,5661 Perkins Road,Bedford Hts,Cuyahoga,OH,IGSA,0,CITY,CITY,$65,NDS,Acceptable
Bedford Municipal Detention Center,2121 L Don Dodson Drive,Bedford,Tarrant,TX,IGSA,9,CITY,CITY,$51.12,NDS,Acceptable
